order_number,line_item,order_date,customerkey,storekey,productkey,quantity,currency_code,gender,customers_city,customers_state,customers_country,customers_continent,age,product_name,brand,color,_unit_cost_usd_,_unit_price_usd_,subcategorykey,subcategory,categorykey,category,store_country,store_state,square_meters,open_date,exchange,total_price
366007,2,2016-01-01,2035771,43,666,5,USD,Female,Winchester,Virginia,United States,North America,79,Proseware Office Jet All-in-One Printer M500 Black,Proseware,Black,74.96,163,306,"Printers, Scanners & Fax",3,Computers,United States,Alaska,1190,2015-01-01,1,815
366008,1,2016-01-01,759705,29,1154,9,EUR,Male,Casilli,Napoli,Italy,Europe,47,"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",Fabrikam,Blue,330.66,998,405,Camcorders,4,Cameras and camcorders,Italy,Enna,1000,2008-01-01,0.9185,8982
366008,2,2016-01-01,759705,29,2510,1,EUR,Male,Casilli,Napoli,Italy,Europe,47,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,2.07,4.06,505,Cell phones Accessories,5,Cell phones,Italy,Enna,1000,2008-01-01,0.9185,4.06
366008,3,2016-01-01,759705,29,1060,5,EUR,Male,Casilli,Napoli,Italy,Europe,47,A. Datum SLR Camera X139 Gold,A. Datum,Gold,207.74,627,402,Digital SLR Cameras,4,Cameras and camcorders,Italy,Enna,1000,2008-01-01,0.9185,3135
366009,1,2016-01-01,254540,9,1648,1,CAD,Female,Peterborough,Ontario,Canada,North America,35,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Black,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",Canada,Northwest Territories,1500,2005-03-04,1.3884,109.99
366010,1,2016-01-01,370077,0,618,5,CAD,Female,Sainte-Gertrude,Quebec,Canada,North America,52,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.06,299,305,Projectors & Screens,3,Computers,Online,Online,0,2010-01-01,1.3884,1495
366011,1,2016-01-01,1984985,66,128,7,USD,Male,Chicago,Illinois,United States,North America,86,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,Brown,73.11,143.4,201,Televisions,2,TV and Video,United States,Wyoming,840,2014-01-01,1,1003.8
366011,2,2016-01-01,1984985,66,1638,1,USD,Male,Chicago,Illinois,United States,North America,86,Contoso DVD 58 DVD Storage Binder M55 Red,Contoso,Red,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Wyoming,840,2014-01-01,1,13.89
366011,3,2016-01-01,1984985,66,1634,1,USD,Male,Chicago,Illinois,United States,North America,86,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Silver,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Wyoming,840,2014-01-01,1,9.99
366011,4,2016-01-01,1984985,66,2392,3,USD,Male,Chicago,Illinois,United States,North America,86,Proseware Air conditioner 10000BTU M490 Red,Proseware,Red,197.74,429.99,807,Air Conditioners,8,Home Appliances,United States,Wyoming,840,2014-01-01,1,1289.97
366012,1,2016-01-01,1977527,65,1807,1,USD,Female,Austin,Texas,United States,North America,35,MGS Dungeon Siege 2009 E163,Tailspin Toys,Gold,16.31,32,702,Download Games,7,Games and Toys,United States,West Virginia,1785,2012-01-01,1,32
366012,2,2016-01-01,1977527,65,1594,4,USD,Female,Austin,Texas,United States,North America,35,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,Red,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,West Virginia,1785,2012-01-01,1,39.96
366012,3,2016-01-01,1977527,65,1297,1,USD,Female,Austin,Texas,United States,North America,35,Contoso USB Cable M250 White,Contoso,White,11.5,25,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,United States,West Virginia,1785,2012-01-01,1,25
366013,1,2016-01-01,1187306,41,1654,5,GBP,Male,DRUMWHINDLE,Aberdeenshire,United Kingdom,Europe,46,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Silver,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",United Kingdom,Fermanagh,2100,2013-06-07,0.6742,1299.95
366014,1,2016-01-01,738549,0,123,1,EUR,Female,Pollone,Biella,Italy,Europe,25,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.76,279.99,201,Televisions,2,TV and Video,Online,Online,0,2010-01-01,0.9185,279.99
366014,2,2016-01-01,738549,0,1700,2,EUR,Female,Pollone,Biella,Italy,Europe,25,SV Hand Games women M40 Red,Southridge Video,Red,4.08,8.88,701,Boxed Games,7,Games and Toys,Online,Online,0,2010-01-01,0.9185,17.76
366016,1,2016-01-01,1982762,63,1253,7,USD,Female,Madrid,New York,United States,North America,52,Contoso General Carrying Case E304 Silver,Contoso,Silver,10.19,19.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,United States,Utah,2000,2008-03-06,1,139.93
367000,1,2016-01-02,1438050,56,1176,1,USD,Female,Champaign,Illinois,United States,North America,84,Fabrikam Trendsetter 1'' 25mm X400 White,Fabrikam,White,331.32,1000,405,Camcorders,4,Cameras and camcorders,United States,New Hampshire,1260,2015-01-01,1,1000
367003,1,2016-01-02,980164,40,153,2,GBP,Female,GRAVELEY,North Hertfordshire,United Kingdom,Europe,36,"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,216.12,469.97,201,Televisions,2,TV and Video,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06,0.6742,939.94
367004,1,2016-01-02,1853699,56,136,1,USD,Female,Chandler,Oklahoma,United States,North America,67,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Brown,160.93,349.95,201,Televisions,2,TV and Video,United States,New Hampshire,1260,2015-01-01,1,349.95
367004,2,2016-01-02,1853699,56,1637,4,USD,Female,Chandler,Oklahoma,United States,North America,67,Contoso DVD 48 DVD Storage Binder M50 Red,Contoso,Red,8.27,17.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,New Hampshire,1260,2015-01-01,1,71.96
367005,1,2016-01-02,758280,0,1691,1,EUR,Male,Teglia,Genova,Italy,Europe,30,SV Hand Games for kids E30 Black,Southridge Video,Black,2.75,5.39,701,Boxed Games,7,Games and Toys,Online,Online,0,2010-01-01,0.9185,5.39
367005,2,2016-01-02,758280,0,319,2,EUR,Male,Teglia,Genova,Italy,Europe,30,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Silver,287.92,869,205,Car Video,2,TV and Video,Online,Online,0,2010-01-01,0.9185,1738
367005,3,2016-01-02,758280,0,1674,8,EUR,Male,Teglia,Genova,Italy,Europe,30,MGS Hand Games for students E400 Red,Tailspin Toys,Red,3.56,6.99,701,Boxed Games,7,Games and Toys,Online,Online,0,2010-01-01,0.9185,55.92
367005,4,2016-01-02,758280,0,2511,9,EUR,Male,Teglia,Genova,Italy,Europe,30,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Silver,2.07,4.06,505,Cell phones Accessories,5,Cell phones,Online,Online,0,2010-01-01,0.9185,36.54
367005,5,2016-01-02,758280,0,1720,2,EUR,Male,Teglia,Genova,Italy,Europe,30,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Black,32.25,70.13,702,Download Games,7,Games and Toys,Online,Online,0,2010-01-01,0.9185,140.26
367005,6,2016-01-02,758280,0,1597,7,EUR,Male,Teglia,Genova,Italy,Europe,30,SV DVD External DVD Burner M200 Black,Southridge Video,Black,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,0,2010-01-01,0.9185,405.16
367005,7,2016-01-02,758280,0,784,1,EUR,Male,Teglia,Genova,Italy,Europe,30,Contoso Laptop Starter Bundle M200 White,Contoso,White,7.59,16.5,308,Computers Accessories,3,Computers,Online,Online,0,2010-01-01,0.9185,16.5
367006,1,2016-01-02,693285,18,2445,3,EUR,Female,DZAOUDZI,Mayotte,France,Europe,45,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,Litware,Green,2.54,4.99,808,Fans,8,Home Appliances,France,Mayotte,310,2012-08-08,0.9185,14.97
367007,1,2016-01-02,1730985,57,65,7,USD,Female,Brattleboro,Vermont,United States,North America,36,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Purple,83.24,181,104,Recording Pen,1,Audio,United States,New Mexico,1645,2010-06-03,1,1267
367007,2,2016-01-02,1730985,57,1432,9,USD,Female,Brattleboro,Vermont,United States,North America,36,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Grey,137.96,300,503,Touch Screen Phones,5,Cell phones,United States,New Mexico,1645,2010-06-03,1,2700
367008,1,2016-01-02,763246,28,1951,3,EUR,Male,San Zenone Al Lambro,Milano,Italy,Europe,81,Litware Refrigerator 24.7CuFt X980 Silver,Litware,Silver,1060.22,3199.99,802,Refrigerators,8,Home Appliances,Italy,Caltanissetta,1200,2012-12-15,0.9185,9599.97
367009,1,2016-01-02,1512558,57,934,1,USD,Female,West Roxbury,Massachusetts,United States,North America,55,SV 4GB Laptop Memory M65 Blue,Southridge Video,Blue,36.33,79,308,Computers Accessories,3,Computers,United States,New Mexico,1645,2010-06-03,1,79
367009,2,2016-01-02,1512558,57,930,8,USD,Female,West Roxbury,Massachusetts,United States,North America,55,SV 512MB Laptop memory E800 Yellow,Southridge Video,Yellow,17.33,33.99,308,Computers Accessories,3,Computers,United States,New Mexico,1645,2010-06-03,1,271.92
367009,3,2016-01-02,1512558,57,1436,5,USD,Female,West Roxbury,Massachusetts,United States,North America,55,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,The Phone Company,Grey,118.65,258,503,Touch Screen Phones,5,Cell phones,United States,New Mexico,1645,2010-06-03,1,1290
367009,4,2016-01-02,1512558,57,1547,3,USD,Female,West Roxbury,Massachusetts,United States,North America,55,The Phone Company PDA Handheld 3.5 inch M610 Silver,The Phone Company,Silver,117.27,255,504,Smart phones & PDAs,5,Cell phones,United States,New Mexico,1645,2010-06-03,1,765
367009,5,2016-01-02,1512558,57,53,5,USD,Female,West Roxbury,Massachusetts,United States,North America,55,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,98.07,296,104,Recording Pen,1,Audio,United States,New Mexico,1645,2010-06-03,1,1480
367010,1,2016-01-02,1322959,66,917,1,USD,Male,Big Piney,Wyoming,United States,North America,64,SV 500GB USB 2.0 Portable External Hard Drive X405 White,Southridge Video,White,59.31,179,308,Computers Accessories,3,Computers,United States,Wyoming,840,2014-01-01,1,179
367010,2,2016-01-02,1322959,66,39,1,USD,Male,Big Piney,Wyoming,United States,North America,64,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Green,99.14,299.23,101,MP4&MP3,1,Audio,United States,Wyoming,840,2014-01-01,1,299.23
367011,1,2016-01-02,507981,22,39,1,EUR,Male,Lappersdorf,Freistaat Bayern,Germany,Europe,66,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Green,99.14,299.23,101,MP4&MP3,1,Audio,Germany,Freistaat ThÃ¼ringen,2000,2008-03-06,0.9185,299.23
367012,1,2016-01-02,209990,9,1653,5,CAD,Male,Norwich,Ontario,Canada,North America,48,Contoso DVD 7-Inch Player Portable E200 Silver,Contoso,Silver,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",Canada,Northwest Territories,1500,2005-03-04,1.3884,549.95
367012,2,2016-01-02,209990,9,145,3,CAD,Male,Norwich,Ontario,Canada,North America,48,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,Silver,960.82,2899.99,201,Televisions,2,TV and Video,Canada,Northwest Territories,1500,2005-03-04,1.3884,8699.97
367013,1,2016-01-02,815458,31,1733,2,EUR,Male,Sassenheim,Zuid-Holland,Netherlands,Europe,41,MGS Halo: Combat Evolved E109,Tailspin Toys,Silver,11.62,22.79,702,Download Games,7,Games and Toys,Netherlands,Drenthe,1085,2012-01-07,0.9185,45.58
367013,2,2016-01-02,815458,31,41,6,EUR,Male,Sassenheim,Zuid-Holland,Netherlands,Europe,41,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,Silver,106.69,232,101,MP4&MP3,1,Audio,Netherlands,Drenthe,1085,2012-01-07,0.9185,1392
367014,1,2016-01-02,1839627,56,1184,3,USD,Male,Garfield Heights,Ohio,United States,North America,33,Fabrikam Business Videographer 1'' 25mm M600 White,Fabrikam,White,409.28,890,405,Camcorders,4,Cameras and camcorders,United States,New Hampshire,1260,2015-01-01,1,2670
367015,1,2016-01-02,911025,42,2296,7,GBP,Female,SMELTHOUSES,Harrogate,United Kingdom,Europe,63,Proseware Chandelier M0815 Grey,Proseware,Grey,123.47,268.5,806,Lamps,8,Home Appliances,United Kingdom,North Down,1900,2009-12-15,0.6742,1879.5
367016,1,2016-01-02,1633409,63,1487,1,USD,Male,Dearborn,Michigan,United States,North America,81,The Phone Company Smart phones Unlocked M300 Grey,The Phone Company,Grey,122.78,267,504,Smart phones & PDAs,5,Cell phones,United States,Utah,2000,2008-03-06,1,267
367016,2,2016-01-02,1633409,63,558,7,USD,Male,Dearborn,Michigan,United States,North America,81,Proseware Screen 113in X1609 White,Proseware,White,99.06,299,305,Projectors & Screens,3,Computers,United States,Utah,2000,2008-03-06,1,2093
367016,3,2016-01-02,1633409,63,206,3,USD,Male,Dearborn,Michigan,United States,North America,81,Litware Home Theater System 5.1 Channel M515 Black,Litware,Black,261.66,569,203,Home Theater System,2,TV and Video,United States,Utah,2000,2008-03-06,1,1707
367017,1,2016-01-02,1612400,47,1203,4,USD,Male,Arlington Heights,Illinois,United States,North America,65,Fabrikam Trendsetter 2/3'' 17mm X100 Grey,Fabrikam,Grey,324.69,980,405,Camcorders,4,Cameras and camcorders,United States,Hawaii,1120,2015-04-04,1,3920
367018,1,2016-01-02,1301565,59,1245,2,USD,Male,Los Angeles,California,United States,North America,43,Fabrikam Social Videographer 1/3'' 8.5mm E200 White,Fabrikam,White,85.65,168,405,Camcorders,4,Cameras and camcorders,United States,Oregon,2000,2012-08-08,1,336
367018,2,2016-01-02,1301565,59,1973,4,USD,Male,Los Angeles,California,United States,North America,43,Litware Refrigerator 3.2CuFt E160 Grey,Litware,Grey,142.75,279.99,802,Refrigerators,8,Home Appliances,United States,Oregon,2000,2012-08-08,1,1119.96
367018,3,2016-01-02,1301565,59,731,4,USD,Male,Los Angeles,California,United States,North America,43,Proseware Ink Jet Wireless All-In-One Printer M400 Green,Proseware,Green,59.32,129,306,"Printers, Scanners & Fax",3,Computers,United States,Oregon,2000,2012-08-08,1,516
367019,1,2016-01-02,793573,29,1947,2,EUR,Male,Sant'Agata Mugello,Firenze,Italy,Europe,68,Litware Refrigerator 9.7CuFt M560 Brown,Litware,Brown,226.71,493,802,Refrigerators,8,Home Appliances,Italy,Enna,1000,2008-01-01,0.9185,986
367019,2,2016-01-02,793573,29,1645,7,EUR,Male,Sant'Agata Mugello,Firenze,Italy,Europe,68,Contoso DVD External DVD Burner M200 Silver,Contoso,Silver,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",Italy,Enna,1000,2008-01-01,0.9185,405.16
367019,3,2016-01-02,793573,29,371,7,EUR,Male,Sant'Agata Mugello,Firenze,Italy,Europe,68,Adventure Works Laptop16 M1601 White,Adventure Works,White,275.46,599,301,Laptops,3,Computers,Italy,Enna,1000,2008-01-01,0.9185,4193
367020,1,2016-01-02,799366,29,448,6,EUR,Male,San Biagio In Padule,Modena,Italy,Europe,79,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Black,137.6,269.9,303,Desktops,3,Computers,Italy,Enna,1000,2008-01-01,0.9185,1619.4
367020,2,2016-01-02,799366,29,1975,1,EUR,Male,San Biagio In Padule,Modena,Italy,Europe,79,Litware Refrigerator L1200 Orange,Litware,Orange,1060.22,3199.99,802,Refrigerators,8,Home Appliances,Italy,Enna,1000,2008-01-01,0.9185,3199.99
367021,1,2016-01-02,243917,10,1445,4,CAD,Female,Toronto,Ontario,Canada,North America,40,"The Phone Company Touch Screen Phones 26-1.4"" M250 Gold",The Phone Company,Gold,123.24,268,503,Touch Screen Phones,5,Cell phones,Canada,Nunavut,1210,2015-04-04,1.3884,1072
367021,2,2016-01-02,243917,10,1624,6,CAD,Female,Toronto,Ontario,Canada,North America,40,Contoso DVD Recorder L220 White,Contoso,White,72.56,219,602,Movie DVD,6,"Music, Movies and Audio Books",Canada,Nunavut,1210,2015-04-04,1.3884,1314
367021,3,2016-01-02,243917,10,1615,2,CAD,Female,Toronto,Ontario,Canada,North America,40,SV DVD 15-Inch Player Portable L200 White,Southridge Video,White,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",Canada,Nunavut,1210,2015-04-04,1.3884,579.98
367022,1,2016-01-02,942807,42,1596,1,GBP,Male,WOODMANCOTE,Cotswold,United Kingdom,Europe,67,SV DVD 55DVD Storage Binder M56 Red,Southridge Video,Red,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",United Kingdom,North Down,1900,2009-12-15,0.6742,12.66
367022,2,2016-01-02,942807,42,1253,7,GBP,Male,WOODMANCOTE,Cotswold,United Kingdom,Europe,67,Contoso General Carrying Case E304 Silver,Contoso,Silver,10.19,19.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,United Kingdom,North Down,1900,2009-12-15,0.6742,139.93
367022,3,2016-01-02,942807,42,663,3,GBP,Male,WOODMANCOTE,Cotswold,United Kingdom,Europe,67,Proseware High-Performance Business-Class Laser Fax X200 Black,Proseware,Black,82.17,248,306,"Printers, Scanners & Fax",3,Computers,United Kingdom,North Down,1900,2009-12-15,0.6742,744
367022,4,2016-01-02,942807,42,1194,6,GBP,Male,WOODMANCOTE,Cotswold,United Kingdom,Europe,67,Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey,Fabrikam,Grey,291.09,633,405,Camcorders,4,Cameras and camcorders,United Kingdom,North Down,1900,2009-12-15,0.6742,3798
367023,1,2016-01-02,129318,2,1139,5,AUD,Female,PINE VALLEY,New South Wales,Australia,Australia,47,"Fabrikam SLR Camera 35"" M358 Orange",Fabrikam,Orange,150.84,328,402,Digital SLR Cameras,4,Cameras and camcorders,Australia,Northern Territory,665,2008-01-12,1.3683,1640
367023,2,2016-01-02,129318,2,1031,2,AUD,Female,PINE VALLEY,New South Wales,Australia,Australia,47,A. Datum Ultra Compact Digital Camera M190 Azure,A. Datum,Azure,75.88,165,401,Digital Cameras,4,Cameras and camcorders,Australia,Northern Territory,665,2008-01-12,1.3683,330
367024,1,2016-01-02,1713253,50,302,8,USD,Male,Gainesville,Florida,United States,North America,34,SV Car Video LCD9.2W X9280 Black,Southridge Video,Black,330.99,999,205,Car Video,2,TV and Video,United States,Kansas,2000,2008-03-06,1,7992
367024,2,2016-01-02,1713253,50,2105,5,USD,Male,Gainesville,Florida,United States,North America,34,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Grey,488.7,1475,804,Water Heaters,8,Home Appliances,United States,Kansas,2000,2008-03-06,1,7375
367025,1,2016-01-02,1736623,56,1608,1,USD,Female,Detroit,Michigan,United States,North America,58,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,New Hampshire,1260,2015-01-01,1,109.99
367025,2,2016-01-02,1736623,56,1641,2,USD,Female,Detroit,Michigan,United States,North America,58,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,Red,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",United States,New Hampshire,1260,2015-01-01,1,25.32
367025,3,2016-01-02,1736623,56,1574,3,USD,Female,Detroit,Michigan,United States,North America,58,SV DVD Player M130 Grey,Southridge Video,Grey,27.59,59.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,New Hampshire,1260,2015-01-01,1,179.97
367026,1,2016-01-02,1836599,53,2218,2,USD,Male,Miami,Florida,United States,North America,22,Adventure Works Wall Lamp E2150 Grey,Adventure Works,Grey,61.17,119.99,806,Lamps,8,Home Appliances,United States,Montana,1260,2012-06-06,1,239.98
367026,2,2016-01-02,1836599,53,78,1,USD,Male,Miami,Florida,United States,North America,22,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Silver,18.65,40.55,106,Bluetooth Headphones,1,Audio,United States,Montana,1260,2012-06-06,1,40.55
367027,1,2016-01-02,1482586,53,2451,3,USD,Female,Cleburne,Texas,United States,North America,75,Litware Desktop Wind Tower Oscillating Fan E1201 Brown,Litware,Brown,15.29,29.99,808,Fans,8,Home Appliances,United States,Montana,1260,2012-06-06,1,89.97
367027,2,2016-01-02,1482586,53,1645,1,USD,Female,Cleburne,Texas,United States,North America,75,Contoso DVD External DVD Burner M200 Silver,Contoso,Silver,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Montana,1260,2012-06-06,1,57.88
367027,3,2016-01-02,1482586,53,1728,2,USD,Female,Cleburne,Texas,United States,North America,75,MGS Age of Mythology: Gold Edition M310,Tailspin Toys,Blue,36.7,79.8,702,Download Games,7,Games and Toys,United States,Montana,1260,2012-06-06,1,159.6
367028,1,2016-01-02,607356,0,976,1,EUR,Female,AURILLAC,Auvergne,France,Europe,34,A. Datum All in One Digital Camera M200 Pink,A. Datum,Pink,86.45,188,401,Digital Cameras,4,Cameras and camcorders,Online,Online,0,2010-01-01,0.9185,188
367028,2,2016-01-02,607356,0,2017,3,EUR,Female,AURILLAC,Auvergne,France,Europe,34,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Blue,50.98,99.99,803,Microwaves,8,Home Appliances,Online,Online,0,2010-01-01,0.9185,299.97
367029,1,2016-01-02,1260533,66,1607,1,USD,Female,Asheboro,North Carolina,United States,North America,27,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,Silver,82.77,179.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Wyoming,840,2014-01-01,1,179.99
367029,2,2016-01-02,1260533,66,1223,7,USD,Female,Asheboro,North Carolina,United States,North America,27,Fabrikam Budget Moviemaker 2/3'' 17mm E100 Black,Fabrikam,Black,234.52,460,405,Camcorders,4,Cameras and camcorders,United States,Wyoming,840,2014-01-01,1,3220
367030,1,2016-01-02,1843882,51,2010,7,USD,Female,Westland,Michigan,United States,North America,50,Fabrikam Microwave 1.0CuFt E1100 Black,Fabrikam,Black,71.37,139.99,803,Microwaves,8,Home Appliances,United States,Maine,1295,2010-01-01,1,979.93
367030,2,2016-01-02,1843882,51,426,1,USD,Female,Westland,Michigan,United States,North America,50,Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Black,254.86,499.9,303,Desktops,3,Computers,United States,Maine,1295,2010-01-01,1,499.9
367031,1,2016-01-02,909014,0,120,3,GBP,Female,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,69,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,61.17,119.99,201,Televisions,2,TV and Video,Online,Online,0,2010-01-01,0.6742,359.97
367031,2,2016-01-02,909014,0,382,2,GBP,Female,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,69,Adventure Works Laptop12 M1201 Red,Adventure Works,Red,195.24,382.95,301,Laptops,3,Computers,Online,Online,0,2010-01-01,0.6742,765.9
367031,3,2016-01-02,909014,0,1722,3,GBP,Female,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,69,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Silver,28.55,56,702,Download Games,7,Games and Toys,Online,Online,0,2010-01-01,0.6742,168
367031,4,2016-01-02,909014,0,132,1,GBP,Female,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,69,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,101.97,200,201,Televisions,2,TV and Video,Online,Online,0,2010-01-01,0.6742,200
368000,1,2016-01-03,892838,32,1440,1,EUR,Male,Bussum,Noord-Holland,Netherlands,Europe,70,The Phone Company Touch Screen Phones - CRT M11 Grey,The Phone Company,Grey,86.91,189,503,Touch Screen Phones,5,Cell phones,Netherlands,Flevoland,910,2010-01-01,0.9185,189
368001,1,2016-01-03,1670789,64,1598,3,USD,Male,Salinas,California,United States,North America,63,SV DVD External DVD Burner M200 Grey,Southridge Video,Grey,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Washington DC,1330,2010-01-01,1,173.64
369000,1,2016-01-04,1143828,37,2167,9,GBP,Male,RYE HARBOUR,Rother,United Kingdom,Europe,76,Fabrikam Coffee Maker Auto 5C E090 Black,Fabrikam,Black,83.1,163,805,Coffee Machines,8,Home Appliances,United Kingdom,Ayrshire,2100,2005-03-04,0.6773,1467
369000,2,2016-01-04,1143828,37,167,1,GBP,Male,RYE HARBOUR,Rother,United Kingdom,Europe,76,SV 8xDVD E100 Black,Southridge Video,Black,35.18,69,202,VCD & DVD,2,TV and Video,United Kingdom,Ayrshire,2100,2005-03-04,0.6773,69
